No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
36, 0.40 ,D,Van de Ven,TOT, 4.5 ,,,,, 4.20 , 1.77 , 3.17 , 2.86 , 2.44 , 3.51 , 2.91 , 2.78 , 23.63 
37, 0.40 ,D,Kilman,WHM, 4.5 ,,,,, 3.66 , 2.73 , 3.10 , 2.98 , 3.19 , 3.09 , 2.16 , 3.18 , 24.11 
38, 0.30 ,D,Mitchell,CPL, 5.0 ,,,,, 2.09 , 3.34 , 2.34 , 3.87 , 2.83 , 2.12 , 2.85 , 3.03 , 22.46 
39, 0.31 ,D,Tete,FUL, 4.5 ,,,,, 2.62 , 2.91 , 2.13 , 3.14 , 2.95 , 2.18 , 2.39 , 2.24 , 20.56 
40, 0.38 ,D,Aina,NOT, 5.0 ,,,,, 3.58 , 2.86 , 3.56 , 2.11 , 3.58 , 4.08 , 2.34 , 2.61 , 24.71 
41, 0.36 ,D,Van Hecke,BRI, 4.5 ,,,,, 3.56 , 3.16 , 2.22 , 2.68 , 2.92 , 2.14 , 3.12 , 2.83 , 22.62 
42, 0.26 ,D,Livramento,NEW, 5.0 ,,,,, 2.44 , 2.18 , 2.86 , 3.34 , 2.46 , 2.32 , 3.12 , 2.29 , 20.99 
43, 0.27 ,D,Hall,NEW, 5.5 ,,,,, 1.73 , 2.39 , 3.20 , 3.87 , 2.78 , 2.55 , 3.50 , 2.56 , 22.58 
44, 0.39 ,D,Dorgu,MUN, 4.5 ,,,,, 2.77 , 3.04 , 4.32 , 1.87 , 2.73 , 2.88 , 4.06 , 1.75 , 23.42 
45, 0.24 ,D,Struijk,LEE, 4.5 ,,,,, 3.48 , 1.11 , 1.42 , 1.31 , 1.60 , 1.76 , 1.78 , 2.04 , 14.50 
46, 0.34 ,D,N.Aguerd,WHM, 4.5 ,,,,, 3.40 , 2.51 , 2.74 , 2.72 , 2.96 , 2.85 , 1.92 , 3.08 , 22.18 
47, 0.38 ,D,Van den Berg,BRE, 4.5 ,,,,, 3.13 , 2.95 , 3.52 , 2.73 , 2.87 , 2.89 , 2.22 , 2.87 , 23.18 
48, 0.31 ,D,Yoro,MUN, 4.5 ,,,,, 2.53 , 2.77 , 3.65 , 1.74 , 2.32 , 2.37 , 3.23 , 1.56 , 20.16 
49, 0.23 ,D,Fofana,CHE, 4.5 ,,,,, 0.97 , 2.02 , 2.55 , 2.64 , 2.34 , 2.79 , 2.12 , 2.74 , 18.17 
50, 0.33 ,D,Diouf,WHM, 4.5 ,,,,, 3.41 , 2.49 , 2.64 , 2.69 , 2.87 , 2.66 , 1.69 , 2.94 , 21.39 
51, 0.31 ,D,De Cuyper,BRI, 4.5 ,,,,, 3.30 , 2.82 , 1.97 , 2.39 , 2.69 , 1.86 , 2.73 , 2.51 , 20.27 
